library_id,molecule_h5,Status
PM-PS-0016-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0016-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0020-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0020-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0017-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0017-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0001-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0001-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0007-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0007-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0009-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0009-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0005-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0005-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0002-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0002-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0010-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0010-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0024-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0024-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0004-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0004-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0023-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0023-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0019-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0019-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0022-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0022-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0008-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0008-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0025-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0025-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0018-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0018-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0014-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0014-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0011-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0011-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0006-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0006-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0015-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0015-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0003-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0003-T-A1/outs/molecule_info.h5,Tumor
PM-PS-0021-T-A1,/home/hykim/Project/Cancer/Colon/scRNA-seq/FASTQ/count/PM-PS-0021-T-A1/outs/molecule_info.h5,Tumor
